timestamp,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure
2025-10-01 00:00:00,27.0,26.9,449.0,23.0,9.4,53.0,89,27.9,80,9.4,1000.4
2025-10-01 01:00:00,24.9,24.8,436.0,18.9,8.3,53.0,88,27.6,82,7.2,1000.3
2025-10-01 02:00:00,23.2,23.1,424.0,16.2,7.7,51.0,86,27.2,85,8.3,999.8
2025-10-01 03:00:00,22.2,22.1,349.0,15.2,8.0,47.0,85,27.1,86,8.4,999.6
2025-10-01 04:00:00,21.7,21.7,277.0,15.6,8.8,42.0,84,27.0,87,8.4,999.2
2025-10-01 05:00:00,18.9,18.8,290.0,14.0,9.1,44.0,83,26.8,87,8.8,999.8
2025-10-01 06:00:00,19.4,19.3,490.0,18.1,10.0,41.0,81,26.6,87,8.3,1000.4
2025-10-01 07:00:00,22.4,22.2,775.0,23.5,11.3,37.0,79,26.8,87,8.7,1001.0
2025-10-01 08:00:00,22.3,22.2,928.0,25.4,12.3,43.0,78,27.8,83,7.7,1001.2
2025-10-01 09:00:00,15.0,14.8,813.0,20.3,12.7,68.0,77,29.3,74,9.9,1001.4
2025-10-01 10:00:00,12.5,11.7,565.0,11.7,12.8,102.0,75,30.8,66,11.3,1001.2
2025-10-01 11:00:00,12.9,11.0,377.0,5.2,12.4,127.0,73,31.5,61,13.7,1001.6
2025-10-01 12:00:00,12.5,10.4,319.0,3.1,11.1,135.0,72,32.0,59,13.3,1001.0
2025-10-01 13:00:00,11.5,9.7,320.0,3.1,9.2,134.0,71,32.9,54,13.5,1000.0
2025-10-01 14:00:00,10.6,9.2,358.0,3.7,7.8,131.0,70,33.2,54,13.3,999.4
2025-10-01 15:00:00,9.9,8.7,434.0,4.2,7.2,128.0,69,33.5,53,13.0,998.7
2025-10-01 16:00:00,9.2,8.2,548.0,5.3,7.0,122.0,69,33.4,52,13.2,998.6
2025-10-01 17:00:00,17.3,14.5,676.0,7.8,6.5,106.0,68,33.5,51,12.7,998.8
