,timestamp,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure,temperature_2m_was_missing,relative_humidity_2m_was_missing,wind_speed_10m_was_missing,surface_pressure_was_missing,pm10_was_missing,pm2_5_was_missing,carbon_monoxide_was_missing,nitrogen_dioxide_was_missing,sulphur_dioxide_was_missing,ozone_was_missing,us_aqi_was_missing
0,2025-08-29 00:00:00,75.0,31.1,245.0,19.8,10.2,36.0,87,26.8,91,10.3,1002.3,0,0,0,0,0,0,0,0,0,0,0
1,2025-08-29 01:00:00,70.8,29.1,202.0,15.3,9.2,40.0,87,26.5,92,9.6,1001.5,0,0,0,0,0,0,0,0,0,0,0
2,2025-08-29 02:00:00,69.2,27.8,173.0,11.9,8.5,44.0,88,26.1,93,9.2,1000.9,0,0,0,0,0,0,0,0,0,0,0
3,2025-08-29 03:00:00,68.5,27.1,157.0,10.2,8.2,45.0,88,26.0,93,8.5,1001.0,0,0,0,0,0,0,0,0,0,0,0
4,2025-08-29 04:00:00,67.8,26.7,156.0,9.7,8.2,44.0,89,26.0,94,8.3,1000.9,0,0,0,0,0,0,0,0,0,0,0
5,2025-08-29 05:00:00,68.5,25.1,177.0,8.1,8.6,47.0,89,25.9,94,8.3,1001.1,0,0,0,0,0,0,0,0,0,0,0
6,2025-08-29 06:00:00,66.4,25.1,246.0,10.0,10.0,46.0,90,26.6,91,8.2,1001.1,0,0,0,0,0,0,0,0,0,0,0
7,2025-08-29 07:00:00,70.5,27.1,337.0,12.6,11.9,45.0,90,26.8,90,9.3,1001.1,0,0,0,0,0,0,0,0,0,0,0
8,2025-08-29 08:00:00,82.9,28.8,388.0,13.6,13.8,48.0,90,27.6,84,10.4,1001.6,0,0,0,0,0,0,0,0,0,0,0
9,2025-08-29 09:00:00,95.5,31.0,355.0,11.6,15.5,59.0,91,28.5,79,11.9,1002.0,0,0,0,0,0,0,0,0,0,0,0
10,2025-08-29 10:00:00,101.7,33.3,280.0,8.0,17.0,74.0,91,29.4,74,13.3,1002.2,0,0,0,0,0,0,0,0,0,0,0
11,2025-08-29 11:00:00,105.2,35.6,229.0,5.3,18.0,87.0,91,29.8,71,13.4,1001.8,0,0,0,0,0,0,0,0,0,0,0
12,2025-08-29 12:00:00,105.7,37.0,229.0,4.2,18.0,96.0,91,29.7,74,12.3,1001.6,0,0,0,0,0,0,0,0,0,0,0
13,2025-08-29 13:00:00,103.8,37.1,252.0,3.8,17.5,102.0,91,29.5,76,13.3,1000.9,0,0,0,0,0,0,0,0,0,0,0
14,2025-08-29 14:00:00,101.0,36.1,278.0,4.2,16.9,103.0,91,29.8,75,15.0,1000.2,0,0,0,0,0,0,0,0,0,0,0
15,2025-08-29 15:00:00,97.8,34.7,297.0,4.8,16.4,95.0,91,29.4,76,14.5,999.7,0,0,0,0,0,0,0,0,0,0,0
16,2025-08-29 16:00:00,96.6,34.0,319.0,6.0,16.0,82.0,91,29.3,76,12.9,999.2,0,0,0,0,0,0,0,0,0,0,0
17,2025-08-29 17:00:00,121.5,39.8,354.0,9.0,16.9,72.0,92,28.6,79,12.2,999.2,0,0,0,0,0,0,0,0,0,0,0
18,2025-08-29 18:00:00,116.4,38.6,420.0,16.4,16.7,57.0,92,28.2,83,10.0,999.9,0,0,0,0,0,0,0,0,0,0,0
19,2025-08-29 19:00:00,106.4,38.2,499.0,26.7,16.5,37.0,93,27.8,85,10.8,1000.3,0,0,0,0,0,0,0,0,0,0,0
20,2025-08-29 20:00:00,96.9,39.2,552.0,34.4,16.0,22.0,93,27.6,89,11.0,1001.0,0,0,0,0,0,0,0,0,0,0,0
21,2025-08-29 21:00:00,93.6,39.3,567.0,37.6,15.2,17.0,94,27.2,91,9.8,1002.1,0,0,0,0,0,0,0,0,0,0,0
22,2025-08-29 22:00:00,92.7,40.0,555.0,38.3,14.2,17.0,94,27.1,91,9.8,1003.0,0,0,0,0,0,0,0,0,0,0,0
23,2025-08-29 23:00:00,91.5,39.9,518.0,37.0,13.2,19.0,95,27.0,91,8.3,1003.2,0,0,0,0,0,0,0,0,0,0,0
24,2025-08-30 00:00:00,88.0,38.3,435.0,32.5,12.0,23.0,96,26.8,91,7.4,1003.1,0,0,0,0,0,0,0,0,0,0,0
25,2025-08-30 01:00:00,84.5,36.0,326.0,26.0,10.8,30.0,96,26.5,93,7.9,1002.7,0,0,0,0,0,0,0,0,0,0,0
26,2025-08-30 02:00:00,80.1,34.2,248.0,21.3,10.2,34.0,97,26.3,94,6.5,1002.3,0,0,0,0,0,0,0,0,0,0,0
27,2025-08-30 03:00:00,76.6,33.3,224.0,20.4,10.2,33.0,97,26.3,94,4.1,1002.0,0,0,0,0,0,0,0,0,0,0,0
28,2025-08-30 04:00:00,77.3,33.8,231.0,21.3,10.7,29.0,98,26.1,95,5.4,1002.0,0,0,0,0,0,0,0,0,0,0,0
29,2025-08-30 05:00:00,69.8,31.5,261.0,14.1,10.6,37.0,99,26.1,95,5.3,1002.1,0,0,0,0,0,0,0,0,0,0,0
30,2025-08-30 06:00:00,74.7,32.8,331.0,15.0,12.8,39.0,99,26.8,92,6.6,1002.6,0,0,0,0,0,0,0,0,0,0,0
31,2025-08-30 07:00:00,91.0,35.6,423.0,16.2,15.9,42.0,100,27.0,89,6.8,1003.0,0,0,0,0,0,0,0,0,0,0,0
32,2025-08-30 08:00:00,100.6,36.7,473.0,16.1,18.5,48.0,101,27.8,84,5.9,1003.6,0,0,0,0,0,0,0,0,0,0,0
33,2025-08-30 09:00:00,126.7,41.0,439.0,13.6,20.4,59.0,101,28.9,78,6.2,1004.0,0,0,0,0,0,0,0,0,0,0,0
