pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,timestamp,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure
35.0,31.2,400.0,20.3,9.3,59.0,99,2025-10-30 00:00:00,,,,
36.8,32.6,315.0,13.7,8.6,69.0,97,2025-10-30 01:00:00,,,,
36.4,32.2,257.0,8.8,8.1,75.0,96,2025-10-30 02:00:00,,,,
35.4,31.1,221.0,6.6,7.8,76.0,94,2025-10-30 03:00:00,,,,
34.0,29.5,212.0,6.1,7.8,73.0,93,2025-10-30 04:00:00,,,,
40.2,35.3,283.0,7.4,9.6,75.0,91,2025-10-30 05:00:00,,,,
39.5,34.5,528.0,12.6,10.6,68.0,90,2025-10-30 06:00:00,,,,
40.3,35.2,854.0,19.4,12.0,58.0,89,2025-10-30 07:00:00,,,,
41.9,37.0,1026.0,22.6,12.9,59.0,88,2025-10-30 08:00:00,,,,
42.3,34.9,895.0,18.5,13.0,79.0,87,2025-10-30 09:00:00,,,,
39.9,31.8,611.0,10.8,12.7,108.0,86,2025-10-30 10:00:00,,,,
31.8,27.4,394.0,4.9,12.1,131.0,85,2025-10-30 11:00:00,,,,
28.2,25.0,334.0,3.1,11.3,140.0,85,2025-10-30 12:00:00,,,,
27.3,24.2,341.0,3.1,10.2,143.0,84,2025-10-30 13:00:00,,,,
27.1,23.9,362.0,3.7,9.5,143.0,84,2025-10-30 14:00:00,,,,
27.8,24.3,387.0,4.0,9.2,142.0,84,2025-10-30 15:00:00,,,,
28.3,24.6,427.0,5.0,9.3,138.0,85,2025-10-30 16:00:00,,,,
32.1,28.4,457.0,8.3,9.8,128.0,85,2025-10-30 17:00:00,,,,
35.2,32.1,466.0,16.2,11.0,111.0,95,2025-10-30 18:00:00,,,,
38.2,34.9,465.0,26.9,12.8,88.0,95,2025-10-30 19:00:00,,,,
41.4,38.0,465.0,34.7,14.1,70.0,88,2025-10-30 20:00:00,,,,
44.1,40.6,478.0,37.4,14.7,60.0,89,2025-10-30 21:00:00,,,,
43.7,40.0,492.0,37.0,14.9,56.0,90,2025-10-30 22:00:00,,,,
41.1,37.4,484.0,33.9,14.9,57.0,92,2025-10-30 23:00:00,,,,
38.6,34.9,429.0,26.5,14.7,67.0,92,2025-10-31 00:00:00,,,,
38.1,34.0,350.0,16.3,14.3,83.0,93,2025-10-31 01:00:00,,,,
39.1,34.9,298.0,8.7,14.1,95.0,93,2025-10-31 02:00:00,,,,
40.7,36.3,249.0,5.3,14.1,99.0,93,2025-10-31 03:00:00,,,,
42.5,37.7,226.0,4.5,14.3,99.0,94,2025-10-31 04:00:00,,,,
44.5,39.0,343.0,8.6,14.4,83.0,94,2025-10-31 05:00:00,,,,
46.6,40.7,772.0,16.7,15.5,73.0,95,2025-10-31 06:00:00,,,,
50.8,44.5,1341.0,27.5,17.1,62.0,95,2025-10-31 07:00:00,,,,
54.8,48.9,1645.0,33.0,18.5,61.0,96,2025-10-31 08:00:00,,,,
58.4,49.7,1425.0,27.9,20.0,83.0,97,2025-10-31 09:00:00,,,,
65.7,50.3,940.0,17.5,21.5,117.0,98,2025-10-31 10:00:00,,,,
79.4,50.5,566.0,9.3,21.6,142.0,100,2025-10-31 11:00:00,,,,
83.6,48.7,457.0,5.9,19.3,150.0,102,2025-10-31 12:00:00,,,,
76.6,47.4,459.0,4.7,15.6,150.0,105,2025-10-31 13:00:00,,,,
69.4,45.9,488.0,5.0,12.9,147.0,107,2025-10-31 14:00:00,,,,
63.3,44.0,472.0,4.4,11.6,145.0,110,2025-10-31 15:00:00,,,,
59.1,43.1,483.0,5.3,11.3,139.0,112,2025-10-31 16:00:00,,,,
73.6,53.9,649.0,15.3,15.3,126.0,114,2025-10-31 17:00:00,,,,
95.2,80.1,1150.0,38.3,20.6,95.0,116,2025-10-31 18:00:00,,,,
107.1,93.1,1807.0,69.8,28.0,53.0,121,2025-10-31 19:00:00,,,,
